simplified,zipf,pinyin,meaning_cedict,in_cedict
红军,4.34,Hong2 jun1,"Red Army (1928-1937), predecessor of the PLA; (Soviet) Red Army (1917-1946)",yes
一处,4.33,,,no
八年,4.33,,,no
头上,4.33,tou2 shang4,overhead; above,yes
市委,4.33,shi4 wei3,municipal committee,yes
这座,4.33,,,no
中有,5.43,,,no
美国政府,4.32,,,no
一分钟,4.31,,,no
万吨,4.31,,,no
影音,4.31,ying3 yin1,(Tw) audio and video; audiovisual,yes
尼亚,4.30,,,no
搜狐,4.30,Sou1 hu2,"Sohu, Chinese web portal and online media company",yes
无论是,4.30,,,no
这才,4.30,,,no
一首,4.29,,,no
三种,4.29,,,no
最强,4.29,,,no
省级,4.29,sheng3 ji2,(administrative) province-level,yes
中方,4.28,Zhong1 fang1,the Chinese side (in an international venture),yes
域名,4.28,yu4 ming2,(computing) domain name,yes
多名,4.28,,,no
完整版,4.28,,,no
总面积,4.28,,,no
日军,4.28,Ri4 jun1,Japanese army; Japanese troops,yes
那位,4.28,,,no
一夜,4.27,,,no
一架,4.27,,,no
中共中央,4.27,Zhong1 Gong4 Zhong1 yang1,"Central Committee of the Communist Party of China, abbr. for 中國共產黨中央委員會|中国共产党中央委员会[Zhong1 guo2 Gong4 chan3 dang3 Zhong1 ",yes
日起,4.27,,,no
水中,4.27,,,no
走上,4.27,,,no
首歌,4.27,,,no
一是,5.22,,,no
中华民国,4.26,Zhong1 hua2 Min2 guo2,Republic of China,yes
五大,4.26,,,no
光绪,4.26,Guang1 xu4,reign name of penultimate Qing emperor Guangxu or Guang-hsu (1875-1908),yes
宁波,4.26,Ning2 bo1,see 寧波市|宁波市[Ning2 bo1 Shi4],yes
会上,4.25,,,no
带到,4.25,,,no
福州,4.25,Fu2 zhou1,see 福州市[Fu2 zhou1 Shi4],yes
七个,4.24,,,no
多家,4.24,,,no
我刚,4.24,,,no
最小,4.24,,,no
朝廷,4.24,chao2 ting2,court; imperial household; dynasty,yes
这块,4.24,,,no
选区,4.24,xuan3 qu1,electoral district; constituency,yes
一股,4.23,,,no
三大,4.23,,,no
不像,4.23,,,no
好消息,4.23,,,no
最快,4.23,,,no
一员,4.22,yi1 yuan2,a member (of an organization),yes
一顿,4.22,,,no
人民法院,4.22,ren2 min2 fa3 yuan4,people's court (of law); people's tribunal,yes
军区,4.22,jun1 qu1,geographical area of command; (PLA) military district,yes
几分钟,4.22,,,no
嫁给,4.22,,,no
找个,4.22,,,no
一所,4.21,,,no
七年,4.21,,,no
东风,4.21,dong1 feng1,easterly wind; spring breeze; (fig.) revolutionary momentum; favorable circumstances,yes
八个,4.21,,,no
小小的,4.21,,,no
斯大林,4.21,Si1 da4 lin2,"Joseph Stalin (1879-1953), Soviet dictator",yes
第一位,4.21,,,no
给出,4.21,,,no
